KONKURENCJA,DATA,MODEL,ODPOWIEDNIK,NETTO,BRUTTO,WYSOKOŚĆ,SZEROKOŚĆ,GŁĘBOKOŚĆ,CECHY CHARAKTERYSTYCZNE,ŹRÓDŁO,CZAS REALIZACJI [dni],GWARANCJA [miesiące],msg
Metalkas,18/04/2022,Szafy schowkowe metalowe TG-4MSS-ECO,Sus 322 W,810,997,1800,600,490,,https://sklep.metalkas.com.pl/szafy-schowkowe-metalowe-tg-4mss-eco.html,,24 miesiące,"Metalkas: odpowiednik Sus 322 W
   różni się od poprzednio odnotowanej ceny (718 brutto) o 38%
"
Metalkas,18/04/2022,Szafa ubraniowa 2 MSU,Sum 320 W,910,1120,1800,600,490,,https://sklep.metalkas.com.pl/szafa-ubraniowa-2-msu.html,,24 miesiące,"Metalkas: odpowiednik Sum 320 W
   różni się od poprzednio odnotowanej ceny (807 brutto) o 38%
"
Metalkas,18/04/2022,Szafa metalowa ubraniowa 3 MSU ECO,Sum 420 W,1024,1260,1800,800,490,,https://sklep.metalkas.com.pl/szafa-ubraniowa-3-msu-eco.html,,24 miesiące,"Metalkas: odpowiednik Sum 420 W
   różni się od poprzednio odnotowanej ceny (897 brutto) o 40%
"
Metalkas,18/04/2022,Szafa ubraniowa TG-2MSL-ECO/BASIC,Sul 32 W,1140,1403,1800,600,400,,https://sklep.metalkas.com.pl/szafa-ubraniowa-tg-2msl-eco-basic.html,,24 miesiące,"Metalkas: odpowiednik Sul 32 W
   różni się od poprzednio odnotowanej ceny (1011 brutto) o 38%
"
Metalkas,18/04/2022,Szafa metalowa biurowa - TG-1SDB/1,Sbm 201 M,1413,1738,1980,500,400,,https://sklep.metalkas.com.pl/szafa-biurowa-1-sdb-eco.html,,24 miesiące,"Metalkas: odpowiednik Sbm 201 M
   różni się od poprzednio odnotowanej ceny (1252 brutto) o 38%
"
Metalkas,18/04/2022,Szafa biurowa metalowa TG-1SDB,Sbm 202 M,1540,1895,1980,800,400,,https://sklep.metalkas.com.pl/szafa-metalowa-biurowa-tg-1sdb.html,,24 miesiące,"Metalkas: odpowiednik Sbm 202 M
   różni się od poprzednio odnotowanej ceny (1450 brutto) o 30%
"
Metalkas,18/04/2022,Szafa metalowa biurowa TG-3SDB-ECO,Sbm 203 M,1352,1664,1980,1000,400,,https://sklep.metalkas.com.pl/szafa-biurowa-3-sdb-eco.html,,24 miesiące,"Metalkas: odpowiednik Sbm 203 M
   różni się od poprzednio odnotowanej ceny (1198 brutto) o 38%
"
Metalkas,18/04/2022,Szafa kartotekowa 3 SDK,Szk 301,2736,3366,1290,420,600,,https://sklep.metalkas.com.pl/szafa-kartotekowa-3-sdk.html,,24 miesiące,"Metalkas: odpowiednik Szk 301
   różni się od poprzednio odnotowanej ceny (2424 brutto) o 38%
"
Metalkas,18/04/2022,Szafa kartotekowa szufladowa TG-2SDK,Szk 301,2131,2622,1010,420,600,,https://sklep.metalkas.com.pl/szafa-kartotekowa-szufladowa-tg-2sdk.html,30 dni roboczych,24 miesiące,"Metalkas: odpowiednik Szk 301
   różni się od poprzednio odnotowanej ceny (1888 brutto) o 38%
"
Metalkas,18/04/2022,Szafy schowkowe metalowe TG-4MSS-ECO,Sus 322 W,810,997,1800,600,490,,https://sklep.metalkas.com.pl/szafy-schowkowe-metalowe-tg-4mss-eco.html,,24 miesiące,"Metalkas: odpowiednik Sus 322 W
   różni się od poprzednio odnotowanej ceny (718 brutto) o 38%
"
Metalkas,18/04/2022,Szafa ubraniowa 2 MSU,Sum 320 W,910,1120,1800,600,490,,https://sklep.metalkas.com.pl/szafa-ubraniowa-2-msu.html,,24 miesiące,"Metalkas: odpowiednik Sum 320 W
   różni się od poprzednio odnotowanej ceny (807 brutto) o 38%
"
Metalkas,18/04/2022,Szafa metalowa ubraniowa 3 MSU ECO,Sum 420 W,1024,1260,1800,800,490,,https://sklep.metalkas.com.pl/szafa-ubraniowa-3-msu-eco.html,,24 miesiące,"Metalkas: odpowiednik Sum 420 W
   różni się od poprzednio odnotowanej ceny (897 brutto) o 40%
"
Metalkas,18/04/2022,Szafa ubraniowa TG-2MSL-ECO/BASIC,Sul 32 W,1140,1403,1800,600,400,,https://sklep.metalkas.com.pl/szafa-ubraniowa-tg-2msl-eco-basic.html,,24 miesiące,"Metalkas: odpowiednik Sul 32 W
   różni się od poprzednio odnotowanej ceny (1011 brutto) o 38%
"
Metalkas,18/04/2022,Szafa metalowa biurowa - TG-1SDB/1,Sbm 201 M,1413,1738,1980,500,400,,https://sklep.metalkas.com.pl/szafa-biurowa-1-sdb-eco.html,,24 miesiące,"Metalkas: odpowiednik Sbm 201 M
   różni się od poprzednio odnotowanej ceny (1252 brutto) o 38%
"
Metalkas,18/04/2022,Szafa biurowa metalowa TG-1SDB,Sbm 202 M,1540,1895,1980,800,400,,https://sklep.metalkas.com.pl/szafa-metalowa-biurowa-tg-1sdb.html,,24 miesiące,"Metalkas: odpowiednik Sbm 202 M
   różni się od poprzednio odnotowanej ceny (1450 brutto) o 30%
"
Metalkas,18/04/2022,Szafa metalowa biurowa TG-3SDB-ECO,Sbm 203 M,1352,1664,1980,1000,400,,https://sklep.metalkas.com.pl/szafa-biurowa-3-sdb-eco.html,,24 miesiące,"Metalkas: odpowiednik Sbm 203 M
   różni się od poprzednio odnotowanej ceny (1198 brutto) o 38%
"
Metalkas,18/04/2022,Szafa kartotekowa 3 SDK,Szk 301,2736,3366,1290,420,600,,https://sklep.metalkas.com.pl/szafa-kartotekowa-3-sdk.html,,24 miesiące,"Metalkas: odpowiednik Szk 301
   różni się od poprzednio odnotowanej ceny (2424 brutto) o 38%
"
Metalkas,18/04/2022,Szafa kartotekowa szufladowa TG-2SDK,Szk 301,2131,2622,1010,420,600,,https://sklep.metalkas.com.pl/szafa-kartotekowa-szufladowa-tg-2sdk.html,30 dni roboczych,24 miesiące,"Metalkas: odpowiednik Szk 301
   różni się od poprzednio odnotowanej ceny (1888 brutto) o 38%
"
